credit unions
58.0
76.0
228.0
20851.0
69.0
510.0
6.0
48.0
8033.0
90.0
200.0
6.0
39.0
109.0
138.0
37.0
457.0
98.0
1.0
28.0
27.0
123.0
6178.0
76.0
986.0
1197.0
87.0
27.0
1046.0
20.0
8.0
42.0
2638.0
784.0
692.0
145.0
125.0
95.0
32.0
304.0
2964.0
9634.0
1658.0
21.0
883.0
8423.0
335.0
16.0
2264.0
1188.0
1.0
6.0
9.0
33.0
9.0
1.0
1.0
7.0
6.0
10.0
29.0
85.0
25.0
1.0
4.0
14.0
4.0
127.0
14.0
1.0
20.0
19.0
437.0
318.0
35.0
65.0
1.0
235.0
18.0
25.0
24.0
400.0
1625.0
337.0
48.0
872.0
43.0
188.0
65.0
17.0
547.0
29.0
25.0
85.0
155.0
6.0
180.0
50.0
438.0
15.0
45.0
478.0
5347.0
69.0
4.0
22.0
1.0
1.0
8.0
1.0
21.0
3.0
10.0
32.0
1.0
1.0
3.0
